PuzzleId,FEN,Moves,Rating,RatingDeviation,Popularity,NbPlays,Themes,GameUrl,OpeningTags
3xIVw,2kr1b1r/ppp2pp1/6b1/q2n2Pp/8/1N2B2P/PPP2PB1/R2Q1RK1 b - - 2 15,d5e3 g2b7 c8b7 b3a5,2351,78,93,2400,attraction crushing master opening queensideAttack short,https://lichess.org/6iU7NomM/black#Some(29),Scandinavian_Defense Scandinavian_Defense_Lasker_Variation
lsRus,r1b1k2r/pp2bpp1/4pn1p/3p4/2Pq3B/1P1B1N2/P4PPP/R2QK2R b KQkq - 1 12,d4g4 h2h3 g4g2 h1h2 e7b4 e1e2 g2f3 e2f3,2195,75,94,1939,clearance crushing defensiveMove opening trappedPiece veryLong,https://lichess.org/ygyDdFFY/black#Some(23),Queens_Pawn_Game Queens_Pawn_Game_Colle_System
dg8YX,r1bqk2r/ppp1bppp/5n2/3Np1B1/2BnP3/3P4/PPP2PPP/R2QK1NR w KQkq - 3 7,g1f3 f6d5 g5e7 d5e7,2027,75,90,2786,advantage opening short,https://lichess.org/51nj4PaD#Some(12),Bishops_Opening Bishops_Opening_Vienna_Hybrid
bYDq1,r1b2rk1/p1pp1ppp/2p5/4n3/3BPq2/2PB3P/PP2QPP1/RN2K2R w KQ - 1 13,g2g3 f4c1 e2d1 e5d3,2054,75,90,1211,advantage opening pin short,https://lichess.org/vTTl3E8U#Some(24),Scotch_Game Scotch_Game_Other_variations
Op1kO,rnbq3r/ppp2kpp/8/3p3Q/2B1n3/8/PPPP2PP/RNB3KR b - - 1 8,g7g6 h5d5 d8d5 c4d5,2133,79,91,4649,crushing fork opening short,https://lichess.org/okUYQ0OY/black#Some(15),Russian_Game Russian_Game_Italian_Variation
TTbhH,r1bqr1k1/p4ppp/3b1n2/1p6/3Bp3/1P2P3/P2NBPPP/R2Q1RK1 w - - 0 14,e2b5 d6h2 g1h2 f6g4 h2g1 d8h4 d1g4 c8g4,2107,75,94,4399,advantage attraction clearance kingsideAttack opening sacrifice veryLong,https://lichess.org/IP8CErP4#Some(26),Nimzo-Larsen_Attack Nimzo-Larsen_Attack_Modern_Variation
KVSbP,r1b1kb1r/3ppppp/n2n4/qBpP4/8/2NQP3/PP1B1PPP/R3K1NR w KQkq - 7 10,a2a4 a6b4 d3b1 d6b5 c3b5 a5b5 a4b5 a8a1 b1a1 b4c2 e1e2 c2a1,2037,76,93,159897,advantage attraction fork opening pin sacrifice veryLong,https://lichess.org/StgwY3T0#Some(18),Benko_Gambit_Accepted Benko_Gambit_Accepted_Modern_Variation
xSDg0,r3kb1r/pp3ppp/2n2n2/q2pp3/3P4/PPN1BP2/2PQ1P1P/R3KB1R w KQkq - 1 12,b3b4 f8b4 a3b4 a5a1,2149,75,94,1456,advantage opening short,https://lichess.org/97JosKtu#Some(22),Queens_Pawn_Game Queens_Pawn_Game_Accelerated_London_System
etD4p,r1b1kbnr/pp5p/2nPp1p1/2p5/3q4/2N5/PPP1BPPP/R1B1QRK1 b kq - 5 12,f8d6 c3b5 d4d5 c2c4,2334,82,91,1806,advantage opening short,https://lichess.org/5jph96I3/black#Some(23),Sicilian_Defense Sicilian_Defense_Franco-Sicilian_Variation
Gxbuz,r2qr1k1/pppn1ppp/3bbn2/3pN1B1/3P4/2PB4/PP3PPP/RN1QR1K1 b - - 2 10,e6g4 e5g4 e8e1 d1e1,2037,75,91,927,crushing opening short,https://lichess.org/H1BNFta3/black#Some(19),French_Defense French_Defense_Exchange_Variation
5Tbmo,r1bqr1k1/pp1n1ppp/6n1/2ppP3/3Q1P2/3B2P1/PPPB3P/R3K1NR w KQ - 0 12,d4d5 d7e5 d5d8 e5d3 e1f1 e8d8,2349,90,90,864,crushing doubleCheck exposedKing intermezzo long opening sacrifice,https://lichess.org/Dz9S8X8v#Some(22),Vienna_Game Vienna_Game_Other_variations
