PuzzleId,FEN,Moves,Rating,RatingDeviation,Popularity,NbPlays,Themes,GameUrl,OpeningTags
uXP0o,k5rr/p1Qb1q2/1p2p3/3p1p2/8/5NPN/P5RK/3R4 w - - 4 34,f3e5 h8h3 h2g1 f7h5 e5d7 h5d1,2176,75,97,746,crushing long middlegame,https://lichess.org/nGFmEY0z#Some(66),
tCB08,8/1p3Rk1/8/4p2p/3pq3/P5P1/5R1P/6K1 b - - 1 48,g7g6 f2f6 g6g5 h2h4 g5g4 g1h2 e4c2 f6f2 c2f2 f7f2,2361,83,98,52,crushing endgame queenRookEndgame veryLong,https://lichess.org/ZlFgOBra/black#Some(95),
WA65J,2r2nk1/1p2b2p/p1q1p1p1/4P2P/3r1PQ1/2P5/1PB5/1K4RR b - - 0 30,d4d2 h5g6 h7h6 g6g7,2241,76,95,190,advancedPawn crushing middlegame short,https://lichess.org/dwhzplTj/black#Some(59),
aUwfv,6k1/6pp/1B6/1PP5/4p3/3rn1P1/3r3P/2R2RK1 w - - 0 31,f1f2 d2d1 f2f1 e3f1 c1d1 d3d1,2036,74,96,1157,advantage endgame long,https://lichess.org/tAkXPkpw#Some(60),
6x1Qp,3r1r1k/5p1p/b5p1/p1p1p3/R3P2N/2qP1QRP/6P1/6K1 b - - 7 31,d8d3 f3f6 h8g8 h4f5 d3d1 g1h2,2016,73,95,10274,crushing fork long middlegame pin quietMove,https://lichess.org/rpajaxuI/black#Some(61),
C4sQP,3r4/5p2/4k1pp/ppp5/3PPPP1/P4K1P/1P6/3R4 b - - 0 28,d8d4 d1d4 c5d4 h3h4,2285,129,100,14,advantage defensiveMove endgame rookEndgame short,https://lichess.org/c65xm4Bq/black#Some(55),
Tgd7O,8/2Q3p1/4p1kp/pq1p3N/1p1Pn3/4P2P/5PP1/6K1 w - - 14 41,h5g7 b5e2 g1h2 e2f2 g7e6 f2g3 c7g3 e4g3 h2g3 b4b3,2328,75,95,395,advantage endgame sacrifice veryLong,https://lichess.org/eOi4H5Gt#Some(80),
ifhPA,2r5/5n1p/pN1k4/4p1r1/3N4/1P6/P5PK/5R2 b - - 3 39,c8c7 f1f6 d6c5 d4e6 c5b6 e6g5,2117,76,95,3120,advantage discoveredAttack endgame fork long,https://lichess.org/rQ51fj4U/black#Some(77),
3k1nM,2r3k1/5pp1/p5rp/P1q5/6Q1/5P1P/6PK/1R2R3 w - - 6 29,g4b4 c5f2 e1g1 c8c2,2280,76,96,209,clearance crushing defensiveMove endgame short,https://lichess.org/3QxkSIe8#Some(56),
USxf0,2r1n1r1/p2n1k2/6RQ/3pq1Np/1P6/P5P1/5P1K/8 b - - 6 35,f7e7 g6e6 e5e6 h6e6 e7d8 e6g8,2001,73,95,12779,crushing exposedKing fork long middlegame,https://lichess.org/X5oKGNFO/black#Some(69),
3CtAu,1r3rk1/pR2pp1p/6p1/2p1b3/P7/2q1BQ2/3NRPPP/6K1 w - - 3 20,b7e7 c3a1 d2f1 b8b1,2080,73,95,6269,advantage middlegame short,https://lichess.org/xu762YwF#Some(38),
00dWq,2r1kb2/5p1p/p3p3/1p2P1Q1/1Pq5/P1p3P1/2P4P/2KR1R2 w - - 0 28,g5f4 f8h6 c1b1 h6f4,2224,76,95,419,advantage endgame pin short,https://lichess.org/sRKDDbRV#Some(54),
mizx3,8/8/2p1kppp/p1P5/P3KPPP/8/8/8 w - - 1 35,g4g5 f6g5 f4g5 h6h5 e4d4 e6f5,2361,78,98,389,crushing endgame long pawnEndgame quietMove zugzwang,https://lichess.org/bDIIwjQn#Some(68),
FIwD6,Q7/6p1/5pk1/P1p1p2p/2P1P3/5PPK/5q1P/8 w - - 3 48,a8e8 g6g5 f3f4 e5f4 g3f4 f2f4 h3g2 f4d2,2087,75,95,241,crushing defensiveMove endgame master queenEndgame veryLong,https://lichess.org/GKWAAsQC#Some(94),
8ULaF,4r1k1/q4pp1/6p1/3pP1P1/3Pn3/1N3Q2/6P1/1R4K1 b - - 0 32,e8e5 b1a1 a7a1 b3a1,2238,75,95,854,advantage endgame short,https://lichess.org/yKYrEK3z/black#Some(63),
o4rZP,r2q1b1r/2p2kpp/p1n2n2/1p2p1N1/4b1P1/2P4P/PP3P2/RNBQR1K1 b - - 1 14,f7g8 g5e4 d8d1 e4f6 g7f6 e1d1,2331,212,100,12,equality intermezzo long middlegame sacrifice,https://lichess.org/8XSqagyv/black#Some(27),
xosmo,8/3Q3k/6qp/p5p1/Pp3B2/1P5P/6r1/7K b - - 4 40,g6g7 d7g7 h7g7 f4e5 g7g6 h1g2,2070,74,100,233,attraction crushing endgame long,https://lichess.org/pGxgdaw4/black#Some(79),
bVRI4,1r6/2Nr2nR/5p2/p1R1pPk1/P2p2P1/3P2K1/8/8 b - - 5 46,b8b3 c7e6 g7e6 h7h5,2080,75,96,847,endgame mate mateIn2 sacrifice short,https://lichess.org/3DtDUYTa/black#Some(91),
HI5Qo,8/3r4/2kPK2p/5p2/3Rb2P/8/8/8 b - - 16 54,h6h5 d4c4 c6b5 e6d7 b5c4 d7c7 f5f4 d6d7 f4f3 d7d8q,2347,75,97,399,advancedPawn crushing deflection endgame promotion veryLong,https://lichess.org/y3Qgqpqz/black#Some(107),
fw1G7,r3r3/2p3pk/3qN1Np/1p3P2/p2n4/3PQ2P/PPPRn1P1/5R1K b - - 8 24,e8e6 f5e6 e2g3 h1g1,1601,438,100,6,defensiveMove equality middlegame short,https://lichess.org/eaoh6p5J/black#Some(47),
LXNOw,1r3bk1/5pp1/7p/3q4/p5Q1/P6P/1BR2PP1/6K1 w - - 2 33,g1h2 b8b2 c2b2 d5e5,1766,74,96,5243,crushing endgame master sacrifice short,https://lichess.org/HFeSNAz6#Some(64),
OWgBb,3r1rk1/5p2/2Qp3p/6p1/3PPP2/2N1B3/PP3K1q/4R3 w - - 1 27,f2f3 g5g4 f3g4 h2g2,1776,74,98,132,attraction crushing middlegame short,https://lichess.org/FxKT9YYt#Some(52),
xVNzg,1R2Qr2/6k1/2p3rp/4p3/1pN1Pq2/1P3P2/PK6/7R w - - 16 36,e8e5 f4e5 c4e5 g6g2 b2b1 f8b8,1715,76,95,5247,advantage long middlegame,https://lichess.org/Au7UdiFh#Some(70),
pRJmy,8/pp3kp1/2p5/8/1KPr1PBR/6r1/PP6/8 b - - 0 34,d4f4 g4h5 f7f6 h4f4,1537,75,100,202,advantage discoveredAttack endgame short,https://lichess.org/1WiPUJ9m/black#Some(67),
VIxVd,4rrk1/p5p1/1p6/2p5/2q2p1R/5P1Q/PP2p1PP/4R1K1 b - - 1 29,c4b4 h4h8 g8f7 h3f5 f7e7 e1e2,1615,74,97,2372,advantage endgame interference long,https://lichess.org/574uxnDB/black#Some(57),
knXcG,r2qr1k1/1pp2ppp/1pn5/8/1PBPnB2/P4Q2/5PPP/4RRK1 b - - 0 16,d8d4 c4f7 g8f7 f4e5 e4f6 e5d4,1766,75,95,5266,crushing discoveredAttack kingsideAttack long middlegame sacrifice,https://lichess.org/FceKF96c/black#Some(31),Italian_Game Italian_Game_Giuoco_Piano
ZFJT9,4rr2/ppq2p1k/3p2pP/3p1PQn/3Pp3/2P1P3/PP5P/3R1R1K b - - 0 27,c7e7 f5g6 f7g6 g5e7 e8e7 f1f8,1678,74,97,4871,crushing long middlegame,https://lichess.org/TGTuVg7H/black#Some(53),
jwGHi,8/6p1/6pp/3k2P1/5K1P/8/8/8 w - - 1 56,g5h6 g7h6 f4e3 d5e5 h4h5 g6g5,1748,75,96,969,crushing defensiveMove endgame long pawnEndgame,https://lichess.org/Wc0mrgTv#Some(110),
SOnu2,1n3r2/1P1N1pkp/4p1p1/1B6/8/P6P/5PP1/5K2 b - - 4 33,b8d7 b5d7 f8b8 d7c8,1517,75,95,637,advantage endgame short,https://lichess.org/hfPu3fc2/black#Some(65),
hQJZW,5rn1/1pr1qpkn/p1pp2pp/4p3/4P1Q1/PB1PP1NP/1PP2RP1/5RK1 b - - 7 24,g8f6 g3f5 g7h8 f5e7,1712,76,95,2760,crushing middlegame pin short,https://lichess.org/VyIvkfmJ/black#Some(47),
